furo,de,ate,cli,fegl,sigl,pgl,algl,mngl,pfgl,cagl,mggl,tigl,fogl,f3gl,outros,g1,g2,g3,g4,fe1,si1,p1,al1,mn1,pf1,ca1,mg1,ti1,fo1,f3_1,fe2,si2,p2,al2,mn2,pf2,ca2,mg2,ti2,fo2,f3_2,fe3,si3,p3,al3,mn3,pf3,ca3,mg3,ti3,fo3,f3_3,fe4,si4,p4,al4,mn4,pf4,ca4,mg4,ti4,fo4,f3_4,fgra,fqgl,fq1,fq2,fq3,fq4,rec_am,mid_x,mid_y,mid_z,afe1,asi1,ap1,aal1,amn1,apf1,aca1,amg1,ati1,afo1,afe2,asi2,ap2,aal2,amn2,apf2,aca2,amg2,ati2,afo2,afe3,asi3,ap3,aal3,amn3,apf3,aca3,amg3,ati3,afo3,afe4,asi4,ap4,aal4,amn4,apf4,aca4,amg4,ati4,afo4,ind
DIRFD01,0,6.7,CEL,59.26,8.318,0.083,2.546,0.038,4.42,0.01,0.017,0.341,1.179,,15.90135,20.495,37.368,25.168,16.967,59.31,8.29,0.075,2.55,0.035,4.5,0.01,0.01,0.289,1.58,,60.76,6.37,0.088,2.51,0.044,4.28,0.01,0.03,0.31,0.86,,59.51,7.99,0.084,2.5,0.035,4.27,0.01,0.01,0.361,1.73,,55.535,13.13,0.079,2.687,0.031,4.855,0.012,0.01,0.444,0.579,,100,100.485,100.486,100.541,100.268,100.694,,660679.355,7800110.393,1071.54,1215.558450,169.903550,1.537125,52.262250,0.717325,92.227500,0.204950,0.204950,5.923055,32.382100,2270.479680,238.034160,3.288384,93.793680,1.644192,159.935040,0.373680,1.121040,11.584080,32.136480,1497.747680,201.092320,2.114112,62.920000,0.880880,107.467360,0.251680,0.251680,9.085648,43.540640,942.262345,222.776710,1.340393,45.590329,0.525977,82.374785,0.203604,0.169670,7.533348,9.823893,0
DIRFD01,6.7,12.15,IA,49.052,20.922,0.083,3.033,0.44,5.586,0.009,0.115,0.287,1.332,,30.82847,20.109,40.458,28.266,11.167,49.721,21.048,0.074,2.314,0.298,5.24,0.007,0.102,0.19,2.822,,51.34,17.56,0.085,3.29,0.487,5.7,0.01,0.12,0.276,0.86,,48.58,21.29,0.086,3.14,0.492,5.72,0.01,0.11,0.326,1.15,,40.754,31.947,0.081,3.126,0.389,5.461,0.01,0.136,0.403,0.822,,100,100.692,100.228,101.085,100.755,99.943,,660679.355,7800110.393,1065.465,999.839589,423.254232,1.488066,46.532226,5.992482,105.371160,0.140763,2.051118,3.820710,56.747598,2077.113720,710.442480,3.438930,133.106820,19.703046,230.610600,0.404580,4.854960,11.166408,34.793880,1373.162280,601.783140,2.430876,88.755240,13.906872,161.681520,0.282660,3.109260,9.214716,32.505900,455.099918,356.752149,0.904527,34.908042,4.343963,60.982987,0.111670,1.518712,4.500301,9.179274,1
DIRFD01,12.15,14.4,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660679.355,7800110.393,1061.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DIRFD01,14.4,19.2,IA,39.489,32.457,0.1,3.929,0.3,5.667,0.017,0.104,0.535,0.598,,43.406,29.954,31.107,19.09,19.849,40.658,33.688,0.066,2.093,0.128,4.876,0.01,0.067,0.359,0.915,,42.66,27.04,0.11,4.67,0.324,5.97,0.02,0.13,0.668,0.43,,40.93,29.03,0.118,4.88,0.437,6.08,0.02,0.11,0.577,0.43,,31.367,42.383,0.117,4.624,0.39,5.99,0.02,0.114,0.552,0.546,,100,99.714,99.435,100.112,100.001,99.238,,660679.355,7800110.393,1058.09,1217.869732,1009.090352,1.976964,62.693722,3.834112,146.055704,0.299540,2.006918,10.753486,27.407910,1327.024620,841.133280,3.421770,145.269690,10.078668,185.708790,0.622140,4.043910,20.779476,13.376010,781.353700,554.182700,2.252620,93.159200,8.342330,116.067200,0.381800,2.099900,11.014930,8.208700,622.603583,841.260167,2.322333,91.781776,7.741110,118.895510,0.396980,2.262786,10.956648,10.837554,1
DIRFD01,19.2,24.05,IGO,35.623,42.464,0.07,0.94,0.162,4.458,0.011,0.13,0.103,1.211,,48.51902,79.96,13.148,4.452,2.44,35.056,43.735,0.065,0.767,0.123,4.216,0.01,0.129,0.074,1.343,,38.67,36.69,0.092,1.55,0.288,5.22,0.01,0.13,0.221,0.72,,37.15,37.96,0.092,1.66,0.407,5.58,0.02,0.13,0.222,0.58,,34.995,40.129,0.107,2.005,0.308,6.265,0.02,0.164,0.208,0.699,,100,99.272,99.209,99.61,99.357,99.389,,660679.355,7800110.393,1053.265,2803.077760,3497.050600,5.197400,61.329320,9.835080,337.111360,0.799600,10.314840,5.917040,107.386280,508.433160,482.400120,1.209616,20.379400,3.786624,68.632560,0.131480,1.709240,2.905708,9.466560,165.391800,168.997920,0.409584,7.390320,1.811964,24.842160,0.089040,0.578760,0.988344,2.582160,85.387800,97.914760,0.261080,4.892200,0.751520,15.286600,0.048800,0.400160,0.507520,1.705560,1
DIRFD01,24.05,34.8,IGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660679.355,7800110.393,1045.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DIRFD01,34.8,39.15,IGO,42,32.771,0.129,0.915,0.454,5.593,0.014,0.021,0.01,0.726,,40.32765,68.518,23.271,4.448,3.763,42.057,32.981,0.126,0.806,0.337,5.562,0.014,0.023,0.011,0.922,,42.14,31.65,0.139,1.05,0.717,5.96,0.01,0.01,0.007,0.22,,45.38,28.92,0.117,1.33,0.872,4.6,0.02,0.03,0.016,0.29,,36.101,40.442,0.124,1.566,0.463,5.057,0.014,0.038,0.008,0.805,,100,100.171,100.148,100.154,101.158,99.531,,660679.355,7800110.393,1037.915,2881.661526,2259.792158,8.633268,55.225508,23.090566,381.097116,0.959252,1.575914,0.753698,63.173596,980.639940,736.527150,3.234669,24.434550,16.685307,138.695160,0.232710,0.232710,0.162897,5.119620,201.850240,128.636160,0.520416,5.915840,3.878656,20.460800,0.088960,0.133440,0.071168,1.289920,135.848063,152.183246,0.466612,5.892858,1.742269,19.029491,0.052682,0.142994,0.030104,3.029215,1
DIRFD01,39.15,46,IGO,37.442,36.795,0.116,1.645,0.946,6.985,0.011,0.053,0.028,0.352,,47.2584,33.436,33.314,26.71,6.539,43.242,29.102,0.125,1.042,0.732,7.826,0.01,0.05,0.019,0.309,,40,33.58,0.124,1.54,1.01,7.8,0.01,0.07,0.034,0.58,,28.27,49.21,0.094,2.06,1.167,5.12,0.01,0.03,0.025,0.13,,32.218,41.804,0.119,3.575,0.814,6.154,0.022,0.071,0.052,0.315,,100,100.495,101.069,101.746,98.58,99.028,,660679.355,7800110.393,1032.315,1445.839512,973.054472,4.179500,34.840312,24.475152,261.670136,0.334360,1.671800,0.635284,10.331724,1332.560000,1118.684120,4.130936,51.303560,33.647140,259.849200,0.333140,2.331980,1.132676,19.322120,755.091700,1314.399100,2.510740,55.022600,31.170570,136.755200,0.267100,0.801300,0.667750,3.472300,210.673502,273.356356,0.778141,23.376925,5.322746,40.241006,0.143858,0.464269,0.340028,2.059785,1
DIRFD01,46,69.6,XI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660679.355,7800110.393,1017.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
DIRFD01,69.6,84.05,QT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,660679.355,7800110.393,998.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
